"name","playcount"
"Why?","185"
"John Maus","172"
"Arthur Russell","162"
"Frank Ocean","152"
"Robin Guthrie & Harold Budd","143"
"Ariel Pink's Haunted Graffiti","130"
"Robin Guthrie","128"
"Dntel","82"
"OutKast","81"
"Tim Hecker","75"
"Elite Gymnastics","72"
"Prince","66"
"Stars of the Lid","62"
"Japanther","60"
"Destroyer","54"
"Lemonade","54"
"El-P","53"
"Animal Collective","51"
"Tanlines","51"
"Jessie Ware","50"
"Toro y Moi","49"
"Sondre Lerche","48"
"Nathan Fake","43"
"Bob Dylan","41"
"Delicate Steve","41"
"Rush","41"
"Chromatics","40"
"The Flaming Lips","40"
"The Appleseed Cast","39"
"The Smiths","39"
"Big Boi","38"
"Boards of Canada","38"
"Little Dragon","38"
"Coldplay","37"
"Grimes","37"
"David Bowie","36"
"High Places","35"
"Radiohead","35"
"Girl Talk","32"
"Crystal Castles","31"
"Nicki Minaj","31"
"Shintaro Sakamoto","30"
"The New Pornographers","30"
"Jamie Woon","29"
"Sun Kil Moon","29"
"The Memories","29"
"Purity Ring","28"
"Brian Eno","27"
"Twin Shadow","27"
"Fiona Apple","26"
"Teengirl Fantasy","26"
"Boat","25"
"Miles Davis","25"
"Nite Jewel","25"
"Pavement","25"
"The Weeknd","25"
"The Decemberists","24"
"The High Llamas","24"
"Basement Jaxx","23"
"Beastie Boys","23"
"Four Tet","23"
"Lana Del Rey","23"
"Gold Panda","22"
"Sufjan Stevens","22"
"Fats Waller","21"
"Stevie Wonder","21"
"The National","21"
"Elvis Costello & The Attractions","20"
"Perfume Genius","20"
"Vinícius de Moraes","20"
"Aphex Twin","19"
"arrange","19"
"Handsome Boy Modeling School","19"
"Lil' Wayne","19"
"Snoop Dogg","19"
"The Sea and Cake","19"
"TV on the Radio","19"
"James Blake","18"
"Laurel Halo","18"
"WU LYF","18"
"Dr. Octagon","17"
"Gossip","17"
"of Montreal","17"
"Scarface","17"
"The Clash","17"
"The Who","17"
"Tickley Feather","17"
"Wiz Khalifa","17"
"DJ Khaled","16"
"Grizzly Bear","16"
"Rihanna","16"
"Architecture in Helsinki","15"
"Grandmaster Flash","15"
"New Edition","15"
"The Notorious B.I.G.","15"
"The Octopus Project","15"
"Co La","14"
"Gang of Four","14"
"Kendrick Lamar","14"
"LCD Soundsystem","14"
"LMFAO","14"
"Major Lazer","14"
"Seams","14"
"Ariel Pink","13"
"Casiotone for the Painfully Alone","13"
"CocoRosie","13"
"Paul Simon","13"
"Peter Bjorn and John","13"
"Prince & The Revolution","13"
"Wu-Tang Clan","13"
"Amy Winehouse","12"
"Drake","12"
"Exitmusic","12"
"jj","12"
"No Age","12"
"Peter Zummo","12"
